date, pm25, pm10, o3, so2, co
2018/6/5, 22, 16, 42, 1, 
2018/6/6, 23, 25, 48, 3, 
2018/6/7, 41, 22, 39, 4, 
2018/6/8, 48, 14, , 3, 
2018/6/9, 40, 8, , , 
2018/6/10, 29, 12, 37, , 
2018/6/11, 26, 21, 32, 2, 
2018/6/12, 50, 21, 39, , 
2018/6/13, 34, 22, 38, 1, 
2018/6/14, 23, 23, 57, 4, 
2018/6/15, 36, 25, 40, , 
2018/6/16, 40, 34, 48, , 
2018/6/17, 60, 31, 36, , 
2018/6/18, 53, 10, 27, 3, 
2018/6/19, 19, 11, 33, 4, 
2018/6/20, 34, 20, 45, 6, 
2018/6/21, 43, 10, 26, 4, 
2018/6/22, 33, 10, 32, , 
2018/6/23, 36, 9, 27, , 
2018/6/24, 31, 12, 33, 5, 
2018/6/25, 37, 14, 39, 1, 
2018/6/26, 34, 10, 30, , 
2018/6/27, 27, 22, 45, 1, 
2018/6/28, 48, 26, 50, 1, 
2018/6/29, 52, 25, 41, , 
2018/6/30, 63, 20, 39, , 
2018/1/1, 29, , , , 
2018/1/2, 34, , , , 
2018/1/3, 36, , , , 
2018/1/4, 14, , , , 
2018/1/5, 23, , , , 
2018/1/6, 37, , , , 
2018/1/7, 39, , , , 
2018/1/8, 39, , , , 
